Pokemon,Card Type,Generation,Card Number,Price
DUSKNOIR,STANDARD,STORMFRONT,017 OF 100,0.89
GENGAR,REVERSE HOLO,STORMFRONT,018 OF 100,8.99
GENGAR,STANDARD,STORMFRONT,018 OF 100,4.19
GYARADOS,STANDARD,STORMFRONT,019 OF 100,7.99
GYARADOS,REVERSE HOLO,STORMFRONT,019 OF 100,4.99
MACHAMP,STANDARD,STORMFRONT,020 OF 100,4.49
MACHAMP,REVERSE HOLO,STORMFRONT,020 OF 100,2.39
MAMOSWINE,REVERSE HOLO,STORMFRONT,021 OF 100,1.99
MAMOSWINE,STANDARD,STORMFRONT,021 OF 100,0.79
RAPIDASH,REVERSE HOLO,STORMFRONT,022 OF 100,1.99
RAPIDASH,STANDARD,STORMFRONT,022 OF 100,0.89
ROSERADE,REVERSE HOLO,STORMFRONT,023 OF 100,1.99
ROSERADE,STANDARD,STORMFRONT,023 OF 100,0.79
SALAMENCE,REVERSE HOLO,STORMFRONT,024 OF 100,2.35
SALAMENCE,STANDARD,STORMFRONT,024 OF 100,1.49
SCIZOR,REVERSE HOLO,STORMFRONT,025 OF 100,3.99
SCIZOR,STANDARD,STORMFRONT,025 OF 100,1.79
SKUNTANK,REVERSE HOLO,STORMFRONT,026 OF 100,1.99
SKUNTANK,STANDARD,STORMFRONT,026 OF 100,0.59
STARAPTOR,REVERSE HOLO,STORMFRONT,027 OF 100,1.99
STARAPTOR,STANDARD,STORMFRONT,027 OF 100,0.79
STEELIX,STANDARD,STORMFRONT,028 OF 100,5.49
STEELIX,REVERSE HOLO,STORMFRONT,028 OF 100,2.19
TANGROWTH,REVERSE HOLO,STORMFRONT,029 OF 100,1.99
TANGROWTH,STANDARD,STORMFRONT,029 OF 100,0.69
TYRANITAR,REVERSE HOLO,STORMFRONT,030 OF 100,1.99
TYRANITAR,STANDARD,STORMFRONT,030 OF 100,1.79
VESPIQUEN,REVERSE HOLO,STORMFRONT,031 OF 100,1.99
VESPIQUEN,STANDARD,STORMFRONT,031 OF 100,0.79
BIBAREL,REVERSE HOLO,STORMFRONT,032 OF 100,1.99
BIBAREL,STANDARD,STORMFRONT,032 OF 100,0.49
BUDEW,STANDARD,STORMFRONT,033 OF 100,3.69
BUDEW,REVERSE HOLO,STORMFRONT,033 OF 100,3.49
DUSCLOPS,REVERSE HOLO,STORMFRONT,034 OF 100,1.99
DUSCLOPS,STANDARD,STORMFRONT,034 OF 100,0.49
DUSCLOPS,REVERSE HOLO,STORMFRONT,035 OF 100,1.99
DUSCLOPS,STANDARD,STORMFRONT,035 OF 100,0.49
ELECTRODE,REVERSE HOLO,STORMFRONT,036 OF 100,1.99
ELECTRODE,STANDARD,STORMFRONT,036 OF 100,0.39
ELECTRODE,REVERSE HOLO,STORMFRONT,037 OF 100,1.99
ELECTRODE,STANDARD,STORMFRONT,037 OF 100,0.49
FARFETCH'D,REVERSE HOLO,STORMFRONT,038 OF 100,1.99
FARFETCH'D,STANDARD,STORMFRONT,038 OF 100,0.49
GROVYLE,REVERSE HOLO,STORMFRONT,039 OF 100,1.99
GROVYLE,STANDARD,STORMFRONT,039 OF 100,0.19
HAUNTER,REVERSE HOLO,STORMFRONT,040 OF 100,1.99
HAUNTER,STANDARD,STORMFRONT,040 OF 100,0.49
MACHOKE,REVERSE HOLO,STORMFRONT,041 OF 100,1.99
MACHOKE,STANDARD,STORMFRONT,041 OF 100,0.49
MAGNETON,REVERSE HOLO,STORMFRONT,042 OF 100,1.99
MAGNETON,STANDARD,STORMFRONT,042 OF 100,0.49
MAGNETON,REVERSE HOLO,STORMFRONT,043 OF 100,1.99
MAGNETON,STANDARD,STORMFRONT,043 OF 100,0.39
MILTANK,REVERSE HOLO,STORMFRONT,044 OF 100,1.99
MILTANK,STANDARD,STORMFRONT,044 OF 100,0.49
PICHU,REVERSE HOLO,STORMFRONT,045 OF 100,2.49
PICHU,STANDARD,STORMFRONT,045 OF 100,1.69
PILOSWINE,REVERSE HOLO,STORMFRONT,046 OF 100,1.99
PILOSWINE,STANDARD,STORMFRONT,046 OF 100,0.29
PUPITAR,REVERSE HOLO,STORMFRONT,047 OF 100,2.99
PUPITAR,STANDARD,STORMFRONT,047 OF 100,0.39
SABLEYE,REVERSE HOLO,STORMFRONT,048 OF 100,3.49
SABLEYE,STANDARD,STORMFRONT,048 OF 100,2.49
SCYTHER,REVERSE HOLO,STORMFRONT,049 OF 100,9.99
SCYTHER,STANDARD,STORMFRONT,049 OF 100,0.39
SHELGON,REVERSE HOLO,STORMFRONT,050 OF 100,1.99
SHELGON,STANDARD,STORMFRONT,050 OF 100,0.39
SKARMORY,STANDARD,STORMFRONT,051 OF 100,29
SKARMORY,REVERSE HOLO,STORMFRONT,051 OF 100,1.99
STARAVIA,STANDARD,STORMFRONT,052 OF 100,29
STARAVIA,REVERSE HOLO,STORMFRONT,052 OF 100,1.99
BAGON,REVERSE HOLO,STORMFRONT,053 OF 100,1.99
BAGON,STANDARD,STORMFRONT,053 OF 100,0.39
BIDOOF,REVERSE HOLO,STORMFRONT,054 OF 100,1.99
BIDOOF,STANDARD,STORMFRONT,054 OF 100,0.49
BRONZOR,REVERSE HOLO,STORMFRONT,055 OF 100,1.99
BRONZOR,STANDARD,STORMFRONT,055 OF 100,0.39
CHERUBI,REVERSE HOLO,STORMFRONT,056 OF 100,1.99
CHERUBI,STANDARD,STORMFRONT,056 OF 100,0.39
COMBEE,REVERSE HOLO,STORMFRONT,057 OF 100,1.99
COMBEE,STANDARD,STORMFRONT,057 OF 100,0.49
DRIFLOON,REVERSE HOLO,STORMFRONT,058 OF 100,1.99
DRIFLOON,STANDARD,STORMFRONT,058 OF 100,0.39
DUSKULL,REVERSE HOLO,STORMFRONT,059 OF 100,9.99
DUSKULL,STANDARD,STORMFRONT,059 OF 100,0.29
DUSKULL,REVERSE HOLO,STORMFRONT,060 OF 100,1.99
DUSKULL,STANDARD,STORMFRONT,060 OF 100,0.29
FINNEON,STANDARD,STORMFRONT,061 OF 100,29
FINNEON,REVERSE HOLO,STORMFRONT,061 OF 100,1.99
GASTLY,REVERSE HOLO,STORMFRONT,062 OF 100,3.99
GASTLY,STANDARD,STORMFRONT,062 OF 100,2.99
LARVITAR,REVERSE HOLO,STORMFRONT,063 OF 100,1.99
LARVITAR,STANDARD,STORMFRONT,063 OF 100,0.29
MACHOP,REVERSE HOLO,STORMFRONT,064 OF 100,1.99
MACHOP,STANDARD,STORMFRONT,064 OF 100,0.29
MAGIKARP,REVERSE HOLO,STORMFRONT,065 OF 100,3.99
MAGIKARP,STANDARD,STORMFRONT,065 OF 100,0.39
MAGNEMITE,REVERSE HOLO,STORMFRONT,066 OF 100,1.99
MAGNEMITE,STANDARD,STORMFRONT,066 OF 100,0.39
MAGNEMITE,REVERSE HOLO,STORMFRONT,067 OF 100,1.99
MAGNEMITE,STANDARD,STORMFRONT,067 OF 100,0.29
MISDREAVUS,REVERSE HOLO,STORMFRONT,068 OF 100,1.99
MISDREAVUS,STANDARD,STORMFRONT,068 OF 100,0.39
ONIX,REVERSE HOLO,STORMFRONT,069 OF 100,1.99
ONIX,STANDARD,STORMFRONT,069 OF 100,0.29
PIKACHU,REVERSE HOLO,STORMFRONT,070 OF 100,29.99
PIKACHU,STANDARD,STORMFRONT,070 OF 100,1.19
PONYTA,REVERSE HOLO,STORMFRONT,071 OF 100,1.99
PONYTA,STANDARD,STORMFRONT,071 OF 100,0.29
ROSELIA,REVERSE HOLO,STORMFRONT,072 OF 100,1.99
ROSELIA,STANDARD,STORMFRONT,072 OF 100,0.29
SKORUPI,REVERSE HOLO,STORMFRONT,073 OF 100,1.99
SKORUPI,STANDARD,STORMFRONT,073 OF 100,0.29
SNOVER,REVERSE HOLO,STORMFRONT,074 OF 100,1.99
SNOVER,STANDARD,STORMFRONT,074 OF 100,0.29
STARLY,REVERSE HOLO,STORMFRONT,075 OF 100,1.99
STARLY,STANDARD,STORMFRONT,075 OF 100,0.29
STUNKY,REVERSE HOLO,STORMFRONT,076 OF 100,1.99
STUNKY,STANDARD,STORMFRONT,076 OF 100,0.29
SWINUB,REVERSE HOLO,STORMFRONT,077 OF 100,1.99
SWINUB,STANDARD,STORMFRONT,077 OF 100,0.29
TANGELA,REVERSE HOLO,STORMFRONT,078 OF 100,1.99
TANGELA,STANDARD,STORMFRONT,078 OF 100,0.29
TREECKO,REVERSE HOLO,STORMFRONT,079 OF 100,1.99
TREECKO,STANDARD,STORMFRONT,079 OF 100,0.39
VOLTORB,REVERSE HOLO,STORMFRONT,080 OF 100,1.99
VOLTORB,STANDARD,STORMFRONT,080 OF 100,0.29
VOLTORB,REVERSE HOLO,STORMFRONT,081 OF 100,1.99
VOLTORB,STANDARD,STORMFRONT,081 OF 100,0.29
CONDUCTIVE QUARRY,REVERSE HOLO,STORMFRONT,082 OF 100,1.99
CONDUCTIVE QUARRY,STANDARD,STORMFRONT,082 OF 100,0.49
ENERGY LINK,REVERSE HOLO,STORMFRONT,083 OF 100,1.99
ENERGY LINK,STANDARD,STORMFRONT,083 OF 100,0.49
ENERGY SWITCH,REVERSE HOLO,STORMFRONT,084 OF 100,9.99
ENERGY SWITCH,STANDARD,STORMFRONT,084 OF 100,0.29
GREAT BALL,REVERSE HOLO,STORMFRONT,085 OF 100,9.99
GREAT BALL,STANDARD,STORMFRONT,085 OF 100,0.49
LUXURY BALL,REVERSE HOLO,STORMFRONT,086 OF 100,4.99
LUXURY BALL,STANDARD,STORMFRONT,086 OF 100,1.49
MARLEY'S REQUEST,REVERSE HOLO,STORMFRONT,087 OF 100,1.99
MARLEY'S REQUEST,STANDARD,STORMFRONT,087 OF 100,0.49
POKE BLOWER,REVERSE HOLO,STORMFRONT,088 OF 100,1.99
POKE BLOWER,STANDARD,STORMFRONT,088 OF 100,0.49
POKE DRAWER,REVERSE HOLO,STORMFRONT,089 OF 100,5.99
POKE DRAWER,STANDARD,STORMFRONT,089 OF 100,1.69
POKE HEALER,REVERSE HOLO,STORMFRONT,090 OF 100,1.99
POKE HEALER,STANDARD,STORMFRONT,090 OF 100,0.49
PREMIER BALL,REVERSE HOLO,STORMFRONT,091 OF 100,1.99
PREMIER BALL,STANDARD,STORMFRONT,091 OF 100,0.99
POTION,REVERSE HOLO,STORMFRONT,092 OF 100,1.99
POTION,STANDARD,STORMFRONT,092 OF 100,0.19
SWITCH,REVERSE HOLO,STORMFRONT,093 OF 100,3.99
SWITCH,STANDARD,STORMFRONT,093 OF 100,0.29
CYCLONE ENERGY,REVERSE HOLO,STORMFRONT,094 OF 100,1.99
CYCLONE ENERGY,STANDARD,STORMFRONT,094 OF 100,0.59
WARP ENERGY,STANDARD,STORMFRONT,095 OF 100,2.99
WARP ENERGY,REVERSE HOLO,STORMFRONT,095 OF 100,1.99
DUSKNOIR LV.X,STANDARD,STORMFRONT,096 OF 100,20.99
HEATRAN LV.X,STANDARD,STORMFRONT,097 OF 100,6.99
MACHAMP LV.X,STANDARD,STORMFRONT,098 OF 100,14.99
RAICHU LV.X,STANDARD,STORMFRONT,099 OF 100,12.99
REGIGIGAS LV.X,STANDARD,STORMFRONT,100 OF 100,13.99
CHARMANDER,STANDARD,STORMFRONT,101 OF 100,10.99
CHARMELEON,STANDARD,STORMFRONT,102 OF 100,15.99
CHARIZARD,STANDARD,STORMFRONT,103 OF 100,59.99
DRIFLOON,REVERSE HOLO,STORMFRONT,SH1 OF 100,19.99
DUSKULL,REVERSE HOLO,STORMFRONT,SH2 OF 100,17.99
VOLTORB,REVERSE HOLO,STORMFRONT,SH3 OF 100,13.99
CATERPIE,REVERSE HOLO,SUN AND MOON - BASE SET,001 OF 163,0.29
CATERPIE,STANDARD,SUN AND MOON - BASE SET,001 OF 163,0.09
METAPOD,REVERSE HOLO,SUN AND MOON - BASE SET,002 OF 163,0.39
METAPOD,STANDARD,SUN AND MOON - BASE SET,002 OF 163,0.19
BUTTERFREE,REVERSE HOLO,SUN AND MOON - BASE SET,003 OF 163,0.39
BUTTERFREE,STANDARD,SUN AND MOON - BASE SET,003 OF 163,0.29
PARAS,REVERSE HOLO,SUN AND MOON - BASE SET,004 OF 163,0.29
PARAS,STANDARD,SUN AND MOON - BASE SET,004 OF 163,0.09
PARASECT,REVERSE HOLO,SUN AND MOON - BASE SET,005 OF 163,0.39
PARASECT,STANDARD,SUN AND MOON - BASE SET,005 OF 163,0.29
PINSIR,REVERSE HOLO,SUN AND MOON - BASE SET,006 OF 163,0.39
PINSIR,STANDARD,SUN AND MOON - BASE SET,006 OF 163,0.19
SURSKIT,REVERSE HOLO,SUN AND MOON - BASE SET,007 OF 163,0.29
SURSKIT,STANDARD,SUN AND MOON - BASE SET,007 OF 163,0.09
MASQUERAIN,REVERSE HOLO,SUN AND MOON - BASE SET,008 OF 163,0.39
MASQUERAIN,STANDARD,SUN AND MOON - BASE SET,008 OF 163,0.25
ROWLET,REVERSE HOLO,SUN AND MOON - BASE SET,009 OF 163,0.89
ROWLET,STANDARD,SUN AND MOON - BASE SET,009 OF 163,0.09
DARTRIX,REVERSE HOLO,SUN AND MOON - BASE SET,010 OF 163,0.89
DARTRIX,STANDARD,SUN AND MOON - BASE SET,010 OF 163,0.25
DECIDUEYE,REVERSE HOLO,SUN AND MOON - BASE SET,011 OF 163,0.49
DECIDUEYE,STANDARD,SUN AND MOON - BASE SET,011 OF 163,0.29
DECIDUEYE GX,STANDARD,SUN AND MOON - BASE SET,012 OF 163,3.79
GRUBBIN,REVERSE HOLO,SUN AND MOON - BASE SET,013 OF 163,0.89
GRUBBIN,STANDARD,SUN AND MOON - BASE SET,013 OF 163,0.09
FOMANTIS,REVERSE HOLO,SUN AND MOON - BASE SET,014 OF 163,1.15
FOMANTIS,STANDARD,SUN AND MOON - BASE SET,014 OF 163,0.09
LURANTIS GX,STANDARD,SUN AND MOON - BASE SET,015 OF 163,3.79
MORELULL,REVERSE HOLO,SUN AND MOON - BASE SET,016 OF 163,0.29
MORELULL,STANDARD,SUN AND MOON - BASE SET,016 OF 163,0.09
SHIINOTIC,REVERSE HOLO,SUN AND MOON - BASE SET,017 OF 163,1.45
SHIINOTIC,STANDARD,SUN AND MOON - BASE SET,017 OF 163,1.15
BOUNSWEET,REVERSE HOLO,SUN AND MOON - BASE SET,018 OF 163,0.29
BOUNSWEET,STANDARD,SUN AND MOON - BASE SET,018 OF 163,0.09
STEENEE,REVERSE HOLO,SUN AND MOON - BASE SET,019 OF 163,0.39
STEENEE,STANDARD,SUN AND MOON - BASE SET,019 OF 163,0.19
TSAREENA,REVERSE HOLO,SUN AND MOON - BASE SET,020 OF 163,1.35
TSAREENA,STANDARD,SUN AND MOON - BASE SET,020 OF 163,0.79
GROWLITHE,REVERSE HOLO,SUN AND MOON - BASE SET,021 OF 163,0.29
GROWLITHE,STANDARD,SUN AND MOON - BASE SET,021 OF 163,0.09
ARCANINE,REVERSE HOLO,SUN AND MOON - BASE SET,022 OF 163,1.85
ARCANINE,STANDARD,SUN AND MOON - BASE SET,022 OF 163,1.55
TORKOAL,REVERSE HOLO,SUN AND MOON - BASE SET,023 OF 163,0.29
TORKOAL,STANDARD,SUN AND MOON - BASE SET,023 OF 163,0.09
LITTEN,STANDARD,SUN AND MOON - BASE SET,024 OF 163,0.59
LITTEN,REVERSE HOLO,SUN AND MOON - BASE SET,024 OF 163,0.29
LITTEN,HOLO PROMO,SUN AND MOON - BASE SET,024A OF 163,1.29
TORRACAT,REVERSE HOLO,SUN AND MOON - BASE SET,025 OF 163,0.39
TORRACAT,STANDARD,SUN AND MOON - BASE SET,025 OF 163,0.19
INCINEROAR,REVERSE HOLO,SUN AND MOON - BASE SET,026 OF 163,0.49
INCINEROAR,STANDARD,SUN AND MOON - BASE SET,026 OF 163,0.29
INCINEROAR GX,STANDARD,SUN AND MOON - BASE SET,027 OF 163,5.95
PSYDUCK,REVERSE HOLO,SUN AND MOON - BASE SET,028 OF 163,0.29
PSYDUCK,STANDARD,SUN AND MOON - BASE SET,028 OF 163,0.09
GOLDUCK,REVERSE HOLO,SUN AND MOON - BASE SET,029 OF 163,0.89
GOLDUCK,STANDARD,SUN AND MOON - BASE SET,029 OF 163,0.35
POLIWAG,REVERSE HOLO,SUN AND MOON - BASE SET,030 OF 163,0.29
POLIWAG,STANDARD,SUN AND MOON - BASE SET,030 OF 163,0.09
POLIWHIRL,REVERSE HOLO,SUN AND MOON - BASE SET,031 OF 163,0.39
POLIWHIRL,STANDARD,SUN AND MOON - BASE SET,031 OF 163,0.19
POLIWRATH,STANDARD,SUN AND MOON - BASE SET,032 OF 163,1.35
POLIWRATH,REVERSE HOLO,SUN AND MOON - BASE SET,032 OF 163,1.35
SHELLDER,REVERSE HOLO,SUN AND MOON - BASE SET,033 OF 163,0.29
SHELLDER,STANDARD,SUN AND MOON - BASE SET,033 OF 163,0.09
CLOYSTER,REVERSE HOLO,SUN AND MOON - BASE SET,034 OF 163,0.39
CLOYSTER,STANDARD,SUN AND MOON - BASE SET,034 OF 163,0.29
LAPRAS GX,STANDARD,SUN AND MOON - BASE SET,035 OF 163,4.49
CORSOLA,REVERSE HOLO,SUN AND MOON - BASE SET,036 OF 163,0.39
CORSOLA,STANDARD,SUN AND MOON - BASE SET,036 OF 163,0.29
WINGULL,REVERSE HOLO,SUN AND MOON - BASE SET,037 OF 163,0.29
WINGULL,STANDARD,SUN AND MOON - BASE SET,037 OF 163,0.09
PELIPPER,REVERSE HOLO,SUN AND MOON - BASE SET,038 OF 163,0.39
PELIPPER,STANDARD,SUN AND MOON - BASE SET,038 OF 163,0.19
POPPLIO,STANDARD,SUN AND MOON - BASE SET,039 OF 163,1.15
POPPLIO,REVERSE HOLO,SUN AND MOON - BASE SET,039 OF 163,0.29
POPPLIO,HOLO PROMO,SUN AND MOON - BASE SET,039A OF 163,3.95
POPPLIO,COSMO HOLO PROMO,SUN AND MOON - BASE SET,039B OF 163,2.99
BRIONNE,REVERSE HOLO,SUN AND MOON - BASE SET,040 OF 163,0.39
BRIONNE,STANDARD,SUN AND MOON - BASE SET,040 OF 163,0.09
PRIMARINA,REVERSE HOLO,SUN AND MOON - BASE SET,041 OF 163,0.49
PRIMARINA,STANDARD,SUN AND MOON - BASE SET,041 OF 163,0.19
PRIMARINA GX,STANDARD,SUN AND MOON - BASE SET,042 OF 163,4.79
CRABOMINABLE,REVERSE HOLO,SUN AND MOON - BASE SET,043 OF 163,0.39
CRABOMINABLE,STANDARD,SUN AND MOON - BASE SET,043 OF 163,0.29
WISHIWASHI,REVERSE HOLO,SUN AND MOON - BASE SET,044 OF 163,0.39
WISHIWASHI,STANDARD,SUN AND MOON - BASE SET,044 OF 163,0.19
DEWPIDER,REVERSE HOLO,SUN AND MOON - BASE SET,045 OF 163,0.29
DEWPIDER,STANDARD,SUN AND MOON - BASE SET,045 OF 163,0.09
ARAQUANID,REVERSE HOLO,SUN AND MOON - BASE SET,046 OF 163,0.59
ARAQUANID,STANDARD,SUN AND MOON - BASE SET,046 OF 163,0.19
PYUKUMUKU,REVERSE HOLO,SUN AND MOON - BASE SET,047 OF 163,0.39
PYUKUMUKU,STANDARD,SUN AND MOON - BASE SET,047 OF 163,0.19
BRUXISH,REVERSE HOLO,SUN AND MOON - BASE SET,048 OF 163,0.39
BRUXISH,STANDARD,SUN AND MOON - BASE SET,048 OF 163,0.29
CHINCHOU,REVERSE HOLO,SUN AND MOON - BASE SET,049 OF 163,0.29
CHINCHOU,STANDARD,SUN AND MOON - BASE SET,049 OF 163,0.09
LANTURN,REVERSE HOLO,SUN AND MOON - BASE SET,050 OF 163,0.39
LANTURN,STANDARD,SUN AND MOON - BASE SET,050 OF 163,0.29
CHARJABUG,REVERSE HOLO,SUN AND MOON - BASE SET,051 OF 163,1.15
CHARJABUG,STANDARD,SUN AND MOON - BASE SET,051 OF 163,0.39
VIKAVOLT,STANDARD,SUN AND MOON - BASE SET,052 OF 163,1.85
VIKAVOLT,REVERSE HOLO,SUN AND MOON - BASE SET,052 OF 163,1.85
TOGEDEMARU,REVERSE HOLO,SUN AND MOON - BASE SET,053 OF 163,0.29
TOGEDEMARU,STANDARD,SUN AND MOON - BASE SET,053 OF 163,0.09
ZUBAT,REVERSE HOLO,SUN AND MOON - BASE SET,054 OF 163,0.29
ZUBAT,STANDARD,SUN AND MOON - BASE SET,054 OF 163,0.09
GOLBAT,REVERSE HOLO,SUN AND MOON - BASE SET,055 OF 163,0.39
GOLBAT,STANDARD,SUN AND MOON - BASE SET,055 OF 163,0.19
CROBAT,REVERSE HOLO,SUN AND MOON - BASE SET,056 OF 163,1.15
CROBAT,STANDARD,SUN AND MOON - BASE SET,056 OF 163,0.89
ALOLAN GRIMER,REVERSE HOLO,SUN AND MOON - BASE SET,057 OF 163,0.29
ALOLAN GRIMER,STANDARD,SUN AND MOON - BASE SET,057 OF 163,0.09
ALOLAN MUK,REVERSE HOLO,SUN AND MOON - BASE SET,058 OF 163,7.49
ALOLAN MUK,STANDARD,SUN AND MOON - BASE SET,058 OF 163,2.29
DROWZEE,REVERSE HOLO,SUN AND MOON - BASE SET,059 OF 163,0.29
DROWZEE,STANDARD,SUN AND MOON - BASE SET,059 OF 163,0.09
HYPNO,REVERSE HOLO,SUN AND MOON - BASE SET,060 OF 163,0.39
HYPNO,STANDARD,SUN AND MOON - BASE SET,060 OF 163,0.19
ESPEON GX,STANDARD,SUN AND MOON - BASE SET,061 OF 163,6.49
MAREANIE,REVERSE HOLO,SUN AND MOON - BASE SET,062 OF 163,0.29
MAREANIE,STANDARD,SUN AND MOON - BASE SET,062 OF 163,0.09
TOXAPEX,STANDARD,SUN AND MOON - BASE SET,063 OF 163,1.35
TOXAPEX,REVERSE HOLO,SUN AND MOON - BASE SET,063 OF 163,1.35
COSMOG,REVERSE HOLO,SUN AND MOON - BASE SET,064 OF 163,0.89
COSMOG,STANDARD,SUN AND MOON - BASE SET,064 OF 163,0.19
COSMOEM,REVERSE HOLO,SUN AND MOON - BASE SET,065 OF 163,0.59
COSMOEM,STANDARD,SUN AND MOON - BASE SET,065 OF 163,0.29
LUNALA GX,STANDARD,SUN AND MOON - BASE SET,066 OF 163,5.49
MAKUHITA,REVERSE HOLO,SUN AND MOON - BASE SET,067 OF 163,0.29
MAKUHITA,STANDARD,SUN AND MOON - BASE SET,067 OF 163,0.09
HARIYAMA,REVERSE HOLO,SUN AND MOON - BASE SET,068 OF 163,0.39
HARIYAMA,STANDARD,SUN AND MOON - BASE SET,068 OF 163,0.29
ROGGENROLA,REVERSE HOLO,SUN AND MOON - BASE SET,069 OF 163,0.29
ROGGENROLA,STANDARD,SUN AND MOON - BASE SET,069 OF 163,0.09
BOLDORE,REVERSE HOLO,SUN AND MOON - BASE SET,070 OF 163,0.39
BOLDORE,STANDARD,SUN AND MOON - BASE SET,070 OF 163,0.19
GIGALITH,STANDARD,SUN AND MOON - BASE SET,071 OF 163,0.89
GIGALITH,REVERSE HOLO,SUN AND MOON - BASE SET,071 OF 163,0.89
CRABRAWLER,REVERSE HOLO,SUN AND MOON - BASE SET,072 OF 163,0.29
CRABRAWLER,STANDARD,SUN AND MOON - BASE SET,072 OF 163,0.09
PASSIMIAN,REVERSE HOLO,SUN AND MOON - BASE SET,073 OF 163,0.89
PASSIMIAN,STANDARD,SUN AND MOON - BASE SET,073 OF 163,0.19
SANDYGAST,REVERSE HOLO,SUN AND MOON - BASE SET,074 OF 163,0.29
SANDYGAST,STANDARD,SUN AND MOON - BASE SET,074 OF 163,0.09
PALOSSAND,REVERSE HOLO,SUN AND MOON - BASE SET,075 OF 163,0.39
PALOSSAND,STANDARD,SUN AND MOON - BASE SET,075 OF 163,0.29
ALOLAN RATTATA,REVERSE HOLO,SUN AND MOON - BASE SET,076 OF 163,0.29
ALOLAN RATTATA,STANDARD,SUN AND MOON - BASE SET,076 OF 163,0.09
ALOLAN RATICATE,REVERSE HOLO,SUN AND MOON - BASE SET,077 OF 163,0.49
ALOLAN RATICATE,STANDARD,SUN AND MOON - BASE SET,077 OF 163,0.19
ALOLAN MEOWTH,REVERSE HOLO,SUN AND MOON - BASE SET,078 OF 163,0.29
ALOLAN MEOWTH,STANDARD,SUN AND MOON - BASE SET,078 OF 163,0.09
ALOLAN PERSIAN,REVERSE HOLO,SUN AND MOON - BASE SET,079 OF 163,0.39
ALOLAN PERSIAN,STANDARD,SUN AND MOON - BASE SET,079 OF 163,0.19
UMBREON GX,STANDARD,SUN AND MOON - BASE SET,080 OF 163,6.49
CARVANHA,REVERSE HOLO,SUN AND MOON - BASE SET,081 OF 163,0.29
CARVANHA,STANDARD,SUN AND MOON - BASE SET,081 OF 163,0.09
SHARPEDO,STANDARD,SUN AND MOON - BASE SET,082 OF 163,1.55
SHARPEDO,REVERSE HOLO,SUN AND MOON - BASE SET,082 OF 163,1.35
SANDILE,REVERSE HOLO,SUN AND MOON - BASE SET,083 OF 163,0.29
SANDILE,STANDARD,SUN AND MOON - BASE SET,083 OF 163,0.09
KROKOROK,REVERSE HOLO,SUN AND MOON - BASE SET,084 OF 163,0.39
KROKOROK,STANDARD,SUN AND MOON - BASE SET,084 OF 163,0.19
KROOKODILE,STANDARD,SUN AND MOON - BASE SET,085 OF 163,0.89
KROOKODILE,REVERSE HOLO,SUN AND MOON - BASE SET,085 OF 163,0.89
ALOLAN DIGLETT,REVERSE HOLO,SUN AND MOON - BASE SET,086 OF 163,0.29
ALOLAN DIGLETT,STANDARD,SUN AND MOON - BASE SET,086 OF 163,0.09
ALOLAN DUGTRIO,REVERSE HOLO,SUN AND MOON - BASE SET,087 OF 163,1.15
ALOLAN DUGTRIO,STANDARD,SUN AND MOON - BASE SET,087 OF 163,0.99
SKARMORY,REVERSE HOLO,SUN AND MOON - BASE SET,088 OF 163,0.29
SKARMORY,STANDARD,SUN AND MOON - BASE SET,088 OF 163,0.19
SOLGALEO GX,STANDARD,SUN AND MOON - BASE SET,089 OF 163,7.75
SNUBBULL,REVERSE HOLO,SUN AND MOON - BASE SET,090 OF 163,0.29
SNUBBULL,STANDARD,SUN AND MOON - BASE SET,090 OF 163,0.09
GRANBULL,REVERSE HOLO,SUN AND MOON - BASE SET,091 OF 163,0.39
GRANBULL,STANDARD,SUN AND MOON - BASE SET,091 OF 163,0.19
CUTIEFLY,REVERSE HOLO,SUN AND MOON - BASE SET,092 OF 163,0.29
CUTIEFLY,STANDARD,SUN AND MOON - BASE SET,092 OF 163,0.09
RIBOMBEE,REVERSE HOLO,SUN AND MOON - BASE SET,093 OF 163,0.89
RIBOMBEE,STANDARD,SUN AND MOON - BASE SET,093 OF 163,0.79
DRATINI,REVERSE HOLO,SUN AND MOON - BASE SET,094 OF 163,0.39
DRATINI,STANDARD,SUN AND MOON - BASE SET,094 OF 163,0.09
DRAGONAIR,REVERSE HOLO,SUN AND MOON - BASE SET,095 OF 163,0.59
DRAGONAIR,STANDARD,SUN AND MOON - BASE SET,095 OF 163,0.19
DRAGONITE,REVERSE HOLO,SUN AND MOON - BASE SET,096 OF 163,1.85
DRAGONITE,STANDARD,SUN AND MOON - BASE SET,096 OF 163,1.35
SPEAROW,REVERSE HOLO,SUN AND MOON - BASE SET,097 OF 163,0.29
SPEAROW,STANDARD,SUN AND MOON - BASE SET,097 OF 163,0.09
FEAROW,REVERSE HOLO,SUN AND MOON - BASE SET,098 OF 163,0.39
FEAROW,STANDARD,SUN AND MOON - BASE SET,098 OF 163,0.19
KANGASKHAN,STANDARD,SUN AND MOON - BASE SET,099 OF 163,0.89
KANGASKHAN,REVERSE HOLO,SUN AND MOON - BASE SET,099 OF 163,0.69
TAUROS GX,STANDARD,SUN AND MOON - BASE SET,100 OF 163,3.79
EEVEE,REVERSE HOLO,SUN AND MOON - BASE SET,101 OF 163,2.79
EEVEE,STANDARD,SUN AND MOON - BASE SET,101 OF 163,0.59
